year,month,day,hour,minute,ncores
2021,9,18,17,0,24
2021,9,18,17,15,24
2021,9,18,17,30,19
2021,9,18,17,45,25
2021,9,22,17,0,25
2021,9,22,17,15,24
2021,9,22,17,30,25
2021,9,22,17,45,23
2021,9,23,17,0,20
2021,9,23,17,15,18
2021,9,23,17,30,23
2021,9,23,17,45,23
2021,9,24,17,0,24
2021,9,24,17,15,25
2021,9,24,17,30,24
2021,9,24,17,45,27
2021,9,25,17,0,21
2021,9,25,17,15,21
2021,9,25,17,30,19
2021,9,25,17,45,15
2021,9,26,17,0,19
2021,9,26,17,15,15
2021,9,26,17,30,16
2021,9,27,17,0,15
2021,9,29,17,0,15
2021,9,29,17,15,15
2021,9,29,17,30,17
2021,9,30,17,0,18
2021,9,30,17,15,19
2021,9,30,17,30,18
2021,9,30,17,45,15
2021,9,15,18,0,15
2021,9,15,18,15,15
2021,9,18,18,0,19
2021,9,18,18,15,21
2021,9,18,18,30,20
2021,9,22,18,0,25
2021,9,22,18,15,20
2021,9,22,18,30,22
2021,9,22,18,45,20
2021,9,23,18,0,23
2021,9,23,18,15,23
2021,9,23,18,30,23
2021,9,23,18,45,21
2021,9,24,18,0,23
2021,9,24,18,15,25
2021,9,24,18,30,18
2021,9,24,18,45,16
2021,9,25,18,0,16
2021,9,25,18,15,17
2021,9,29,18,15,16
2021,9,29,18,45,15
2021,9,30,18,0,15
2021,9,30,18,15,15
2021,9,15,14,0,17
2021,9,15,14,15,16
2021,9,18,14,0,16
2021,9,18,14,15,18
2021,9,18,14,45,15
2021,9,22,14,30,15
2021,9,22,14,45,18
2021,9,24,14,15,16
2021,9,24,14,30,19
2021,9,24,14,45,24
2021,9,26,14,15,17
2021,9,26,14,30,20
2021,9,26,14,45,20
2021,9,29,14,30,16
2021,9,29,14,45,17
2021,9,13,16,15,15
2021,9,14,16,45,16
2021,9,18,16,0,15
2021,9,18,16,15,17
2021,9,18,16,30,21
2021,9,18,16,45,25
2021,9,22,16,0,26
2021,9,22,16,15,29
2021,9,22,16,30,26
2021,9,22,16,45,26
2021,9,23,16,0,15
2021,9,23,16,15,17
2021,9,23,16,30,22
2021,9,23,16,45,21
2021,9,24,16,0,25
2021,9,24,16,15,21
2021,9,24,16,30,21
2021,9,24,16,45,29
2021,9,25,16,0,18
2021,9,25,16,15,21
2021,9,25,16,30,20
2021,9,25,16,45,24
2021,9,26,16,0,21
2021,9,26,16,15,19
2021,9,26,16,30,22
2021,9,26,16,45,19
2021,9,29,16,0,19
2021,9,29,16,15,17
2021,9,29,16,30,18
2021,9,29,16,45,19
2021,9,30,16,0,18
2021,9,30,16,15,15
2021,9,30,16,30,17
2021,9,30,16,45,17
2021,9,9,15,15,17
2021,9,15,15,30,15
2021,9,15,15,45,15
2021,9,18,15,30,15
2021,9,18,15,45,15
2021,9,21,15,45,15
2021,9,22,15,0,16
2021,9,22,15,15,16
2021,9,22,15,30,24
2021,9,22,15,45,27
2021,9,24,15,0,24
2021,9,24,15,15,24
2021,9,24,15,30,27
2021,9,24,15,45,24
2021,9,25,15,45,16
2021,9,26,15,0,19
2021,9,26,15,15,23
2021,9,26,15,30,24
2021,9,26,15,45,20
2021,9,29,15,0,18
2021,9,29,15,15,19
2021,9,29,15,30,16
2021,9,29,15,45,15
2021,9,30,15,15,15
2021,9,15,12,0,15
2021,9,15,12,15,17
2021,9,15,12,30,19
2021,9,15,12,45,20
2021,9,15,11,15,16
2021,9,14,19,15,15
2021,9,14,19,30,15
2021,9,14,19,45,17
2021,9,18,19,15,15
2021,9,22,19,0,18
2021,9,23,19,0,20
2021,9,23,19,15,17
2021,9,23,19,30,15
2021,9,23,19,45,15
2021,9,24,19,0,15
2021,9,14,20,0,15
2021,9,14,20,15,15
2021,9,14,20,30,15
2021,9,14,20,45,15
2021,9,23,20,0,16
2021,9,23,20,15,16
2021,9,23,20,45,15
2021,9,14,23,0,15
2021,9,14,21,0,17
2021,9,18,21,0,15
2021,9,14,22,0,16
2021,9,14,22,45,16
2022,6,16,0,0,15
2022,6,16,0,15,15
2022,6,28,0,30,15
2022,6,4,4,15,15
2022,6,4,1,15,15
2022,6,4,2,45,15
2022,6,28,2,45,15
2022,6,5,19,0,22
2022,6,5,19,15,21
2022,6,5,19,30,19
2022,6,5,19,45,17
2022,6,6,19,45,15
2022,6,9,19,45,15
2022,6,12,19,15,15
2022,6,16,19,0,17
2022,6,16,19,15,17
2022,6,16,19,30,17
2022,6,16,19,45,15
2022,6,27,19,15,15
2022,6,27,19,30,17
2022,6,30,19,15,16
